"subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"f2ddfcaf-8f36-462a-80b0-7491ebb86dac","count","low complexity, high function","blicket","img/stim_lchf_b.png","right","con",1,"low","high",1
"f2ddfcaf-8f36-462a-80b0-7491ebb86dac","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","ind",0,"medium","medium",2
"f2ddfcaf-8f36-462a-80b0-7491ebb86dac","count","low complexity, low function","garn","img/stim_lclf_b.png","right","con",1,"low","low",3
"f2ddfcaf-8f36-462a-80b0-7491ebb86dac","count","high complexity, low function","toma","img/stim_hclf_b.png","left","con",1,"high","low",4
"f2ddfcaf-8f36-462a-80b0-7491ebb86dac","count","high complexity, high function","zorp","img/stim_hchf_a.png","right","con",1,"high","high",5
"cb7c79a7-3d82-4d28-84ec-da33793fec44","count","low complexity, low function","blicket","img/stim_lclf_a.png","left","ind",0,"low","low",1
"cb7c79a7-3d82-4d28-84ec-da33793fec44","count","high complexity, high function","zorp","img/stim_hchf_b.png","right","con",1,"high","high",2
"cb7c79a7-3d82-4d28-84ec-da33793fec44","count","high complexity, low function","garn","img/stim_hclf_b.png","right","ind",0,"high","low",3
"cb7c79a7-3d82-4d28-84ec-da33793fec44","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",4
"cb7c79a7-3d82-4d28-84ec-da33793fec44","count","medium complexity, medium function","toma","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"eea365ab-b822-4684-ab7a-e6aebc9a16aa","count","medium complexity, medium function","zorp","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"eea365ab-b822-4684-ab7a-e6aebc9a16aa","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","ind",0,"low","high",2
"eea365ab-b822-4684-ab7a-e6aebc9a16aa","count","high complexity, low function","toma","img/stim_hclf_a.png","right","con",1,"high","low",3
"eea365ab-b822-4684-ab7a-e6aebc9a16aa","count","high complexity, high function","garn","img/stim_hchf_b.png","right","ind",0,"high","high",4
"eea365ab-b822-4684-ab7a-e6aebc9a16aa","count","low complexity, low function","blicket","img/stim_lclf_b.png","left","con",1,"low","low",5
"97c98b1f-28aa-4ca9-874a-2ed912bb161b","count","high complexity, low function","garn","img/stim_hclf_b.png","left","con",1,"high","low",1
"97c98b1f-28aa-4ca9-874a-2ed912bb161b","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",2
"97c98b1f-28aa-4ca9-874a-2ed912bb161b","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","right","con",1,"medium","medium",3
"97c98b1f-28aa-4ca9-874a-2ed912bb161b","count","high complexity, high function","toma","img/stim_hchf_b.png","left","ind",0,"high","high",4
"97c98b1f-28aa-4ca9-874a-2ed912bb161b","count","low complexity, high function","blicket","img/stim_lchf_a.png","right","con",1,"low","high",5
"c9b42b96-6ea3-4a81-a414-aee2cad1b6ce","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"c9b42b96-6ea3-4a81-a414-aee2cad1b6ce","count","low complexity, low function","sarel","img/stim_lclf_a.png","right","con",1,"low","low",2
"c9b42b96-6ea3-4a81-a414-aee2cad1b6ce","count","low complexity, high function","toma","img/stim_lchf_a.png","right","con",1,"low","high",3
"c9b42b96-6ea3-4a81-a414-aee2cad1b6ce","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",4
"c9b42b96-6ea3-4a81-a414-aee2cad1b6ce","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","con",1,"high","high",5
"6d00642f-ab6a-48d2-bc4c-82865ba9ddb9","count","low complexity, high function","sarel","img/stim_lchf_b.png","right","con",1,"low","high",1
"6d00642f-ab6a-48d2-bc4c-82865ba9ddb9","count","low complexity, low function","blicket","img/stim_lclf_b.png","left","ind",0,"low","low",2
"6d00642f-ab6a-48d2-bc4c-82865ba9ddb9","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","left","con",1,"medium","medium",3
"6d00642f-ab6a-48d2-bc4c-82865ba9ddb9","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",4
"6d00642f-ab6a-48d2-bc4c-82865ba9ddb9","count","high complexity, high function","toma","img/stim_hchf_a.png","right","con",1,"high","high",5
"77e54b66-6d97-48ad-b466-d84ede35531f","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",1
"77e54b66-6d97-48ad-b466-d84ede35531f","count","low complexity, high function","garn","img/stim_lchf_a.png","left","ind",0,"low","high",2
"77e54b66-6d97-48ad-b466-d84ede35531f","count","medium complexity, medium function","toma","img/stim_mcmf_b.png","left","ind",0,"medium","medium",3
"77e54b66-6d97-48ad-b466-d84ede35531f","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","con",1,"low","low",4
"77e54b66-6d97-48ad-b466-d84ede35531f","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","con",1,"high","high",5
"b7c624f2-e091-4b57-aa10-b0f3918dcb94","count","high complexity, high function","toma","img/stim_hchf_b.png","right","con",1,"high","high",1
"b7c624f2-e091-4b57-aa10-b0f3918dcb94","count","high complexity, low function","garn","img/stim_hclf_b.png","left","ind",0,"high","low",2
"b7c624f2-e091-4b57-aa10-b0f3918dcb94","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","con",1,"medium","medium",3
"b7c624f2-e091-4b57-aa10-b0f3918dcb94","count","low complexity, low function","blicket","img/stim_lclf_b.png","left","con",1,"low","low",4
"b7c624f2-e091-4b57-aa10-b0f3918dcb94","count","low complexity, high function","sarel","img/stim_lchf_a.png","right","con",1,"low","high",5
"5ed92ec5-7fd7-4f2e-af73-79322dd4abdf","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",1
"5ed92ec5-7fd7-4f2e-af73-79322dd4abdf","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","left","con",1,"medium","medium",2
"5ed92ec5-7fd7-4f2e-af73-79322dd4abdf","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",3
"5ed92ec5-7fd7-4f2e-af73-79322dd4abdf","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",4
"5ed92ec5-7fd7-4f2e-af73-79322dd4abdf","count","high complexity, high function","garn","img/stim_hchf_b.png","left","con",1,"high","high",5
"32dee270-c6f9-424d-a53a-863d2d2635dd","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",1
"32dee270-c6f9-424d-a53a-863d2d2635dd","count","low complexity, low function","sarel","img/stim_lclf_a.png","right","ind",0,"low","low",2
"32dee270-c6f9-424d-a53a-863d2d2635dd","count","high complexity, low function","zorp","img/stim_hclf_a.png","left","ind",0,"high","low",3
"32dee270-c6f9-424d-a53a-863d2d2635dd","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","right","ind",0,"medium","medium",4
"32dee270-c6f9-424d-a53a-863d2d2635dd","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"66a09bd3-e2e3-42de-a5e3-12827134ed15","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"66a09bd3-e2e3-42de-a5e3-12827134ed15","count","high complexity, low function","blicket","img/stim_hclf_b.png","right","ind",0,"high","low",2
"66a09bd3-e2e3-42de-a5e3-12827134ed15","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","right","ind",0,"medium","medium",3
