"","subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"71","3a6a44df-5b04-4d33-882a-b68b5e2e3cbc","count","high complexity, low function","sarel","img/stim_hclf_b.png","right","con",1,"high","low",1
"72","3a6a44df-5b04-4d33-882a-b68b5e2e3cbc","count","low complexity, low function","garn","img/stim_lclf_a.png","left","ind",0,"low","low",2
"73","3a6a44df-5b04-4d33-882a-b68b5e2e3cbc","count","low complexity, high function","toma","img/stim_lchf_a.png","left","con",1,"low","high",3
"74","3a6a44df-5b04-4d33-882a-b68b5e2e3cbc","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",4
"75","3a6a44df-5b04-4d33-882a-b68b5e2e3cbc","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"76","3e72d95d-84e2-4fb4-a292-7ad5bdad4420","count","low complexity, low function","sarel","img/stim_lclf_b.png","right","con",1,"low","low",1
"77","3e72d95d-84e2-4fb4-a292-7ad5bdad4420","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","left","con",1,"medium","medium",2
"78","3e72d95d-84e2-4fb4-a292-7ad5bdad4420","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",3
"79","3e72d95d-84e2-4fb4-a292-7ad5bdad4420","count","low complexity, high function","zorp","img/stim_lchf_a.png","right","con",1,"low","high",4
"80","3e72d95d-84e2-4fb4-a292-7ad5bdad4420","count","high complexity, low function","toma","img/stim_hclf_a.png","left","con",1,"high","low",5
"81","38febe87-a98f-461e-ad1c-d93cb584a445","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","ind",0,"low","low",1
"82","38febe87-a98f-461e-ad1c-d93cb584a445","count","low complexity, high function","sarel","img/stim_lchf_a.png","right","ind",0,"low","high",2
"83","38febe87-a98f-461e-ad1c-d93cb584a445","count","medium complexity, medium function","toma","img/stim_mcmf_a.png","left","con",1,"medium","medium",3
"84","38febe87-a98f-461e-ad1c-d93cb584a445","count","high complexity, high function","garn","img/stim_hchf_a.png","right","ind",0,"high","high",4
"85","38febe87-a98f-461e-ad1c-d93cb584a445","count","high complexity, low function","blicket","img/stim_hclf_b.png","right","con",1,"high","low",5
"86","eb8a4101-f5c7-41c9-b819-ec9f67f88420","count","low complexity, high function","garn","img/stim_lchf_b.png","left","ind",0,"low","high",1
"87","eb8a4101-f5c7-41c9-b819-ec9f67f88420","count","medium complexity, medium function","toma","img/stim_mcmf_a.png","left","con",1,"medium","medium",2
"88","eb8a4101-f5c7-41c9-b819-ec9f67f88420","count","low complexity, low function","zorp","img/stim_lclf_b.png","left","ind",0,"low","low",3
"89","eb8a4101-f5c7-41c9-b819-ec9f67f88420","count","high complexity, high function","sarel","img/stim_hchf_a.png","right","ind",0,"high","high",4
"90","eb8a4101-f5c7-41c9-b819-ec9f67f88420","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","ind",0,"high","low",5
"91","17c01562-2ccb-4743-9fb5-d06551bdcd65","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"92","17c01562-2ccb-4743-9fb5-d06551bdcd65","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",2
"93","17c01562-2ccb-4743-9fb5-d06551bdcd65","count","low complexity, high function","garn","img/stim_lchf_a.png","left","con",1,"low","high",3
"94","17c01562-2ccb-4743-9fb5-d06551bdcd65","count","high complexity, high function","toma","img/stim_hchf_b.png","right","con",1,"high","high",4
"95","17c01562-2ccb-4743-9fb5-d06551bdcd65","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","con",1,"low","low",5
"96","f6fe4ce7-77fd-4ce5-b69f-cfbda2330a00","count","high complexity, high function","sarel","img/stim_hchf_b.png","right","ind",0,"high","high",1
"97","f6fe4ce7-77fd-4ce5-b69f-cfbda2330a00","count","low complexity, high function","toma","img/stim_lchf_a.png","right","con",1,"low","high",2
"98","f6fe4ce7-77fd-4ce5-b69f-cfbda2330a00","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","con",1,"high","low",3
"99","f6fe4ce7-77fd-4ce5-b69f-cfbda2330a00","count","low complexity, low function","garn","img/stim_lclf_a.png","right","ind",0,"low","low",4
"100","f6fe4ce7-77fd-4ce5-b69f-cfbda2330a00","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","ind",0,"medium","medium",5
"101","2af26337-0f36-4f13-85c1-7df9902edd17","count","low complexity, high function","toma","img/stim_lchf_a.png","right","ind",0,"low","high",1
"102","2af26337-0f36-4f13-85c1-7df9902edd17","count","low complexity, low function","sarel","img/stim_lclf_a.png","right","con",1,"low","low",2
"103","2af26337-0f36-4f13-85c1-7df9902edd17","count","high complexity, low function","blicket","img/stim_hclf_a.png","left","con",1,"high","low",3
"104","2af26337-0f36-4f13-85c1-7df9902edd17","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",4
"105","2af26337-0f36-4f13-85c1-7df9902edd17","count","high complexity, high function","zorp","img/stim_hchf_b.png","right","ind",0,"high","high",5
"106","7f96bbad-9c25-4394-8047-dcafa130dda4","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","left","ind",0,"medium","medium",1
"107","7f96bbad-9c25-4394-8047-dcafa130dda4","count","high complexity, high function","garn","img/stim_hchf_b.png","right","con",1,"high","high",2
"108","7f96bbad-9c25-4394-8047-dcafa130dda4","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",3
"109","7f96bbad-9c25-4394-8047-dcafa130dda4","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",4
"110","7f96bbad-9c25-4394-8047-dcafa130dda4","count","low complexity, low function","toma","img/stim_lclf_b.png","right","ind",0,"low","low",5
"111","f13e5b0c-00a9-423e-b024-f941765bbcb7","count","low complexity, low function","toma","img/stim_lclf_b.png","left","con",1,"low","low",1
"112","f13e5b0c-00a9-423e-b024-f941765bbcb7","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","con",1,"medium","medium",2
"113","f13e5b0c-00a9-423e-b024-f941765bbcb7","count","high complexity, low function","zorp","img/stim_hclf_a.png","left","ind",0,"high","low",3
"114","f13e5b0c-00a9-423e-b024-f941765bbcb7","count","low complexity, high function","blicket","img/stim_lchf_a.png","right","con",1,"low","high",4
"115","f13e5b0c-00a9-423e-b024-f941765bbcb7","count","high complexity, high function","garn","img/stim_hchf_a.png","right","ind",0,"high","high",5
"116","66ac2114-a2d6-413a-911a-a8013b51aa16","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","ind",0,"medium","medium",1
"117","66ac2114-a2d6-413a-911a-a8013b51aa16","count","low complexity, low function","toma","img/stim_lclf_a.png","right","ind",0,"low","low",2
"118","66ac2114-a2d6-413a-911a-a8013b51aa16","count","high complexity, high function","garn","img/stim_hchf_a.png","left","con",1,"high","high",3
"119","66ac2114-a2d6-413a-911a-a8013b51aa16","count","high complexity, low function","sarel","img/stim_hclf_b.png","right","ind",0,"high","low",4
"120","66ac2114-a2d6-413a-911a-a8013b51aa16","count","low complexity, high function","blicket","img/stim_lchf_b.png","left","con",1,"low","high",5
"121","dcc1bbbc-4260-4f1c-9492-07b6ca213b38","count","low complexity, high function","blicket","img/stim_lchf_b.png","right","con",1,"low","high",1
"122","dcc1bbbc-4260-4f1c-9492-07b6ca213b38","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","ind",0,"medium","medium",2
"123","dcc1bbbc-4260-4f1c-9492-07b6ca213b38","count","low complexity, low function","garn","img/stim_lclf_b.png","right","con",1,"low","low",3
"124","dcc1bbbc-4260-4f1c-9492-07b6ca213b38","count","high complexity, low function","toma","img/stim_hclf_b.png","left","con",1,"high","low",4
"125","dcc1bbbc-4260-4f1c-9492-07b6ca213b38","count","high complexity, high function","zorp","img/stim_hchf_a.png","right","con",1,"high","high",5
"126","bcede6cc-bf29-40c4-8dbe-e6dee2c99826","count","low complexity, low function","blicket","img/stim_lclf_a.png","left","ind",0,"low","low",1
"127","bcede6cc-bf29-40c4-8dbe-e6dee2c99826","count","high complexity, high function","zorp","img/stim_hchf_b.png","right","con",1,"high","high",2
"128","bcede6cc-bf29-40c4-8dbe-e6dee2c99826","count","high complexity, low function","garn","img/stim_hclf_b.png","right","ind",0,"high","low",3
"129","bcede6cc-bf29-40c4-8dbe-e6dee2c99826","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",4
"130","bcede6cc-bf29-40c4-8dbe-e6dee2c99826","count","medium complexity, medium function","toma","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"131","2adaf824-efe8-4ea6-9ad5-44a5c5b5397a","count","medium complexity, medium function","zorp","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"132","2adaf824-efe8-4ea6-9ad5-44a5c5b5397a","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","ind",0,"low","high",2
"133","2adaf824-efe8-4ea6-9ad5-44a5c5b5397a","count","high complexity, low function","toma","img/stim_hclf_a.png","right","con",1,"high","low",3
"134","2adaf824-efe8-4ea6-9ad5-44a5c5b5397a","count","high complexity, high function","garn","img/stim_hchf_b.png","right","ind",0,"high","high",4
"135","2adaf824-efe8-4ea6-9ad5-44a5c5b5397a","count","low complexity, low function","blicket","img/stim_lclf_b.png","left","con",1,"low","low",5
"136","69bc742d-3ae6-4e9d-8c31-4bb598a2bd50","count","high complexity, low function","garn","img/stim_hclf_b.png","left","con",1,"high","low",1
"137","69bc742d-3ae6-4e9d-8c31-4bb598a2bd50","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",2
"138","69bc742d-3ae6-4e9d-8c31-4bb598a2bd50","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","right","con",1,"medium","medium",3
"139","69bc742d-3ae6-4e9d-8c31-4bb598a2bd50","count","high complexity, high function","toma","img/stim_hchf_b.png","left","ind",0,"high","high",4
"140","69bc742d-3ae6-4e9d-8c31-4bb598a2bd50","count","low complexity, high function","blicket","img/stim_lchf_a.png","right","con",1,"low","high",5
"141","cc8fb09d-7d6f-4972-9b41-3252fefd4736","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","ind",0,"medium","medium",1
"142","cc8fb09d-7d6f-4972-9b41-3252fefd4736","count","low complexity, low function","sarel","img/stim_lclf_a.png","right","con",1,"low","low",2
"143","cc8fb09d-7d6f-4972-9b41-3252fefd4736","count","low complexity, high function","toma","img/stim_lchf_a.png","right","con",1,"low","high",3
"144","cc8fb09d-7d6f-4972-9b41-3252fefd4736","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",4
"145","cc8fb09d-7d6f-4972-9b41-3252fefd4736","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","con",1,"high","high",5
"146","3717419d-9e29-47a8-af24-36907aa6a471","count","low complexity, high function","sarel","img/stim_lchf_b.png","right","con",1,"low","high",1
"147","3717419d-9e29-47a8-af24-36907aa6a471","count","low complexity, low function","blicket","img/stim_lclf_b.png","left","ind",0,"low","low",2
"148","3717419d-9e29-47a8-af24-36907aa6a471","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","left","con",1,"medium","medium",3
"149","3717419d-9e29-47a8-af24-36907aa6a471","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",4
"150","3717419d-9e29-47a8-af24-36907aa6a471","count","high complexity, high function","toma","img/stim_hchf_a.png","right","con",1,"high","high",5
"151","28839058-d297-439b-acc7-d598babd4b82","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",1
"152","28839058-d297-439b-acc7-d598babd4b82","count","low complexity, high function","garn","img/stim_lchf_a.png","left","ind",0,"low","high",2
"153","28839058-d297-439b-acc7-d598babd4b82","count","medium complexity, medium function","toma","img/stim_mcmf_b.png","left","ind",0,"medium","medium",3
"154","28839058-d297-439b-acc7-d598babd4b82","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","con",1,"low","low",4
